Year;Banking_Crisis;Systemic_Crisis;Domestic_Debt_In_Default;Sovereign_External_Debt_In_Default;Currency_Crisis;Inflation_Crisis
1970;0;0;0;0;0;0
1970;0;0;0;0;1;0
1970;0;0;0;0;1;0
1970;0;0;0;0;1;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;1;1
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;0;1;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;n/a;n/a;1;1
1970;0;0;0;1;0;0
1970;0;0;0;1;0;0
1970;n/a;0;n/a;n/a;0;
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;1;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;1;1;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;n/a;0;n/a;n/a;0;
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;0;0;1;0
1970;0;0;0;0;0;0
1970;0;0;0;0;0;0
1970;0;0;1;1;0;0
1971;0;0;0;0;0;0
1971;0;0;0;0;0;0
1971;0;0;0;0;0;1
1971;0;0;0;0;1;0
1971;0;0;0;0;0;0
1971;0;0;0;0;0;0
1971;0;0;0;0;0;0
1971;0;0;0;0;1;1
1971;0;0;0;0;0;0
1971;0;0;0;0;0;1
1971;0;0;0;0;1;1
1971;0;0;0;0;0;0
1971;0;0;0;0;0;0
1971;0;0;0;0;0;0
1971;0;0;0;0;0;0
1971;0;0;0;0;0;0
1971;0;0;0;0;0;0
1971;0;0;0;0;1;0
1971;0;0;0;0;0;0
1971;0;0;0;0;0;0
1971;0;0;0;0;0;0
1971;0;0;0;0;0;0
1971;0;0;0;0;0;0
1971;0;0;0;1;1;0
1971;0;0;0;0;0;0
1971;0;0;0;0;0;0
1971;0;0;0;0;0;0
1971;0;0;0;0;0;0
1971;0;0;n/a;n/a;0;0
1971;0;0;0;1;0;0
1971;0;0;0;0;0;0
1971;n/a;0;n/a;n/a;0;
1971;0;0;0;0;0;0
1971;0;0;0;0;0;0
1971;0;0;0;0;0;0
1971;0;0;0;0;0;0
1971;0;0;0;0;0;0
1971;0;0;0;0;0;0
1971;0;0;0;0;0;0
1971;0;0;0;0;0;0
1971;0;0;0;0;0;0
1971;0;0;0;0;0;0
1971;0;0;0;0;0;0
1971;0;0;0;0;0;0
1971;0;0;0;0;0;0
1971;0;0;0;0;0;0
1971;0;0;0;0;0;0
1971;0;0;0;0;0;0
1971;0;0;0;0;0;0
1971;0;0;0;0;1;0
1971;0;0;0;0;0;0
1971;0;0;0;0;0;0
1971;0;0;0;0;0;0
1971;0;0;1;1;0;0
1971;0;0;0;0;0;0
1971;0;0;0;0;0;0
1971;0;0;0;0;0;0
1971;0;0;0;0;0;0
1971;0;0;0;0;0;0
1971;n/a;0;n/a;n/a;0;
1971;0;0;0;0;1;0
1971;0;0;0;0;0;0
1971;0;0;0;0;0;0
1971;0;0;0;0;1;0
1971;0;0;0;0;0;0
1971;0;0;0;0;1;0
1971;1;0;0;0;1;1
1971;0;0;0;0;0;0
1971;0;0;0;0;0;0
1971;0;0;1;1;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;1;0
1972;0;0;0;0;1;1
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;1;0
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;1;1;1
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;1;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;n/a;n/a;0;0
1972;0;0;0;1;0;0
1972;0;0;0;0;0;0
1972;n/a;0;n/a;n/a;0;
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;1;1;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;n/a;0;n/a;n/a;0;
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;0;0;1;1
1972;0;0;0;0;0;0
1972;0;0;0;0;0;0
1972;0;0;1;1;0;0
1973;0;0;0;0;0;0
1973;0;0;0;0;1;0
1973;0;0;0;0;1;1
1973;0;0;0;0;0;0
1973;0;0;0;0;0;0
1973;0;0;0;0;0;0
1973;0;0;0;0;0;1
1973;0;0;0;0;0;0
1973;0;0;0;0;0;0
1973;0;0;0;0;0;0
1973;0;0;0;1;1;1
1973;0;0;0;0;0;0
1973;0;0;0;0;0;1
1973;0;0;0;0;0;0
1973;0;0;0;0;0;0
1973;0;0;0;0;0;0
1973;0;0;0;0;0;0
1973;0;0;0;0;0;0
1973;0;0;0;0;0;0
1973;0;0;0;0;1;0
1973;0;0;0;0;0;0
1973;0;0;0;0;0;0
1973;0;0;0;0;0;0
1973;0;0;0;1;0;1
1973;0;0;0;0;0;0
1973;0;0;0;0;0;0
1973;0;0;0;0;0;0
1973;0;0;0;0;0;0
1973;0;0;n/a;n/a;0;0
1973;0;0;0;1;0;1
1973;0;0;0;0;0;1
1973;n/a;0;n/a;n/a;0;
1973;0;0;0;0;0;0
1973;0;0;0;0;0;0
1973;0;0;0;0;0;0
1973;0;0;0;0;0;0
1973;0;0;0;0;0;0
1973;0;0;0;0;0;1
1973;0;0;0;0;0;0
1973;0;0;0;0;0;0
1973;0;0;0;0;0;1
1973;0;0;0;0;0;0
1973;0;0;0;0;0;0
1973;0;0;0;0;0;1
1973;0;0;0;0;1;0
1973;0;0;0;0;0;0
1973;0;0;0;0;0;0
1973;0;0;0;0;0;0
1973;0;0;0;0;0;0
1973;0;0;0;0;0;1
1973;0;0;0;0;0;0
1973;0;0;0;0;0;0
1973;0;0;0;0;1;0
1973;0;0;1;1;0;0
1973;0;0;0;0;0;1
1973;0;0;0;0;0;0
1973;0;0;0;0;0;0
1973;0;0;0;0;0;0
1973;0;0;0;0;0;0
1973;n/a;0;n/a;n/a;0;
1973;0;0;0;0;0;1
1973;0;0;0;0;0;0
1973;0;0;0;0;0;0
1973;0;0;0;0;0;0
1973;0;0;0;0;0;0
1973;0;0;0;0;0;0
1973;0;0;0;0;0;1
1973;0;0;0;0;0;0
1973;0;0;0;0;0;0
1973;0;0;1;1;0;0
1974;0;0;0;0;0;0
1974;0;0;0;0;0;1
1974;0;0;0;0;0;1
1974;0;0;0;0;1;0
1974;0;0;0;0;0;0
1974;0;0;0;0;0;0
1974;0;0;0;0;0;1
1974;0;0;0;0;1;1
1974;0;0;0;0;0;0
1974;0;0;0;0;0;0
1974;0;0;0;1;1;1
1974;0;0;0;0;0;0
1974;0;0;0;0;0;1
1974;0;0;0;0;1;1
1974;0;0;0;0;0;0
1974;0;0;0;0;0;0
1974;0;0;0;0;0;0
1974;0;0;0;0;0;1
1974;0;0;0;0;0;0
1974;0;0;0;0;0;0
1974;0;0;0;0;0;0
1974;0;0;0;0;0;0
1974;0;0;0;0;0;0
1974;0;0;0;1;0;0
1974;0;0;0;0;0;0
1974;0;0;0;0;0;1
1974;0;0;0;0;0;0
1974;0;0;0;0;0;0
1974;0;0;n/a;n/a;1;1
1974;0;0;0;1;0;1
1974;0;0;0;0;0;1
1974;n/a;0;n/a;n/a;0;
1974;0;0;0;0;0;1
1974;0;0;0;0;0;1
1974;0;0;0;0;0;0
1974;0;0;0;0;0;1
1974;0;0;0;0;0;0
1974;0;0;0;0;0;1
1974;0;0;0;0;0;0
1974;0;0;0;0;0;0
1974;0;0;0;0;0;1
1974;0;0;0;0;0;0
1974;0;0;0;0;1;0
1974;0;0;0;0;0;0
1974;0;0;0;0;0;0
1974;0;0;0;0;0;0
1974;0;0;0;0;0;0
1974;0;0;0;0;0;1
1974;0;0;0;0;0;0
1974;0;0;0;0;0;1
1974;0;0;0;0;0;0
1974;0;0;0;0;0;1
1974;0;0;0;0;0;0
1974;0;0;1;1;0;0
1974;0;0;0;0;0;0
1974;0;0;0;0;0;0
1974;0;0;0;0;0;0
1974;0;0;0;0;0;0
1974;0;0;0;0;0;0
