Country;Year;Code;Crisis;Advanced Market;Emerging Market;LIDC;Small Developing State;Years since last crisis;Current account balance (percent of GDP);General government gross debt (Percent of GDP);General government net debt (Percent of GDP);"LOG – Gross domestic product per capita, current prices Purchasing power parity; (international dollars)";"LOG – Gross domestic product, current prices Purchasing power parity; (international dollars)";Inflation, average consumer prices (Index);Inflation, average consumer prices (Percent change);Unemployment rate (Percent of total labor force);Age dependency ratio (% of working-age population);Agriculture, forestry, and fishing, value added (% of GDP);GDP growth (annual %);GDP per capita growth (annual %);Gross domestic savings (% of GDP);Inflation, consumer prices (annual %);Population density (people per sq. km of land area);Real interest rate (%);Short-term debt (% of total external debt);Short-term debt (% of total reserves);Trade (% of GDP);Urban population (% of total population)
Algeria;1980;DZA;0;0;1;0;0;110;0,571;;;3,6819626524415;1,95301510107609;8,975;9,668;15,789;98,206562420375;;0,7906069719;-2,288056635;43,07692322;9,517824498;7,867936047;;12,0072;32,91431018;64,67692316;43,542
Algeria;1981;DZA;0;0;1;0;0;111;-0,472;;;3,72076936867503;2,00510755176884;10,286;14,61;15,385;97,0951938628762;;2,999996088;-0,2573379893;40,70010694;14,65484264;8,124882229;;12,5583;39,00524849;65,46499364;44,42
Algeria;1982;DZA;0;0;1;0;0;112;-0,973;;;3,76002344289663;2,05808802400368;10,964;6,593;15;95,9812090199135;;6,400004115;2,948729067;39,21001889;6,54250963;8,397262506;;15,5957;55,321132;59,92293127;45,303
Algeria;1983;DZA;0;0;1;0;0;113;-0,179;;;3,78551988625122;2,09761126643053;11,823;7,835;14,286;94,8332814741608;;5,400003025;1,924323822;39,70902521;5,96716393;8,68361408;;11,9566;48,80016577;53,74411736;46,189
Algeria;1984;DZA;0;0;1;0;0;114;0,144;;;3,81085192052701;2,13667618443063;12,569;6,31;16,536;93,6161291560417;;5,599996529;2,088381385;33,40807155;8,116397955;8,982311251;;11,0696;55,22180375;53,17638369;47,079
Algeria;1985;DZA;0;0;1;0;0;115;1,66;;;3,82750561494722;2,17385904921227;13,88;10,432;16,901;92,3208787519154;;3,699997255;0,235780268;31,41092161;10,48228704;9,29274606;;10,1967;40,09014448;50,32612063;47,968
Algeria;1986;DZA;0;0;1;0;0;116;-3,623;;;3,82371152647846;2,1816463963469;15,824;14,007;18,356;90,9107504216379;;0,4000010028;-2,889171318;23,23873647;12,37160917;9,607494101;;13,9166;82,03191901;36,02671057;48,86
Algeria;1987;DZA;0;0;1;0;0;117;0,223;;;3,81999116011374;2,18920668042392;16,751;5,857;20,056;89,5538102756595;;-0,6999975262;-3,662009693;23,41674477;7,441260913;9,902886545;;5,3802;30,28712828;32,68458447;49,722
Algeria;1988;DZA;1;0;1;0;0;118;-3,678;;;3,8139097537743;2,19592731359722;17,746;5,938;21,801;88,2171479102462;;-1,000005491;-3,682624437;20,54364126;5,911544964;10,17870045;;6,2085;50,79105365;38,11158728;50,511
Algeria;1989;DZA;1;0;1;0;0;119;-1,965;;;3,84029621357102;2,23299357065092;19,373;9,172;18,1;86,7192566730951;;4,400002161;1,688278984;20,19844108;9,304361258;10,45013603;;6,7515;59,62013009;47,15331971;51,298
Algeria;1993;DZA;0;0;1;0;0;1;1,589;83,343;74,07;3,84958032479579;2,27923562880099;42,297;20,5;23,152;80,1646279559944;;-2,100000758;-4,268935462;27,73584698;20,54032612;11,4850181;;2,6712;19,19949831;44,92281337;54,439
Algeria;1994;DZA;0;0;1;0;0;2;-4,334;115,419;98,432;3,84521900520056;2,28448938783956;54,563;29;24,362;78,2972359755062;;-0,8999965525;-2,966914207;26,55715556;29,04765612;11,72966235;;2,105;13,22460088;48,58443779;55,219
Algeria;1995;DZA;0;0;1;0;0;3;-5,318;104,041;116,261;3,86180971526783;2,30989832533036;70,823;29,8;28,105;76,0412593214696;;3,79999479;1,828036977;28,10710135;29,77962649;11,95681393;-7,902165939;0,789;6,261741635;55,19100521;55,997
Algeria;1996;DZA;0;0;1;0;0;4;2,658;98,409;98,204;3,87812580960716;2,3339749591444;84,067;18,7;27,986;73,2732521613996;;4,09999847;2,280472012;31,49416367;18,67907586;12,1695206;-4,04920736;0,9742;5,206719682;53,70514788;56,774
Algeria;1997;DZA;0;0;1;0;0;5;7,161;86,346;69,895;3,88307971560281;2,34615143070315;88,859;5,7;27,961;70,2884958849397;;1,099999939;-0,5854453186;32,01567829;5,733522754;12,37583909;8,136645383;0,5248;1,677481124;52,24391151;57,544
Algeria;1998;DZA;0;0;1;0;0;6;-1,888;86,704;72,905;3,90268970879402;2,37261562469574;93,258;4,95;28,021;67,2963508417546;;5,100003609;3,524321957;27,21074071;4,950161638;12,56420432;15,1040086;0,6061;2,200709921;45,09445056;58,313
Algeria;1999;DZA;0;0;1;0;0;7;0,041;75,619;82,066;3,91575693910188;2,39237155009082;95,682;2,6;29,293;64,3269285753274;11,1069798696683;3,200001554;1,766866719;31,61879848;2,645511134;12,74114009;-0,09592262736;0,6927;3,178872144;50,92910934;59,118
